x      	 y      	 data
175    	 92    		 116
176    	 92    		 119
177    	 92    		 122
178    	 92    		 119
179    	 92    		 116
180    	 92    		 113
181    	 92    		 118
182    	 92    		 124
183    	 92    		 120
184    	 92    		 113
185    	 92    		 116
186    	 92    		 116
187    	 92    		 113
188    	 92    		 113
189    	 92    		 110
190    	 92    		 117
191    	 92    		 120
192    	 92    		 120
193    	 92    		 120
194    	 92    		 117
195    	 92    		 117
196    	 92    		 121
197    	 92    		 110
198    	 92    		 115
199    	 92    		 119
200    	 92    		 117
201    	 92    		 117
202    	 92    		 114
203    	 92    		 105
204    	 92    		 102
205    	 92    		 94
206    	 92    		 110
207    	 92    		 126
208    	 92    		 126
209    	 92    		 119
210    	 92    		 113
211    	 92    		 113
212    	 92    		 114
213    	 92    		 115
214    	 91    		 116
215    	 91    		 121
216    	 91    		 121
217    	 91    		 119
218    	 91    		 121
219    	 91    		 125
220    	 91    		 124
221    	 91    		 116
222    	 91    		 106
223    	 91    		 106
224    	 91    		 128
225    	 91    		 129
226    	 91    		 122
227    	 91    		 131
228    	 91    		 118
229    	 91    		 97
230    	 91    		 85
231    	 91    		 91
232    	 91    		 108
233    	 91    		 116
234    	 91    		 104
235    	 91    		 123
236    	 91    		 125
237    	 91    		 125
238    	 91    		 130
239    	 91    		 126
240    	 91    		 114
241    	 91    		 112
242    	 91    		 120
243    	 91    		 107
244    	 91    		 86
245    	 91    		 92
246    	 91    		 102
247    	 91    		 110
248    	 91    		 112
249    	 91    		 112
250    	 91    		 112
251    	 91    		 111
252    	 91    		 108
253    	 91    		 112
254    	 91    		 113
255    	 91    		 112
256    	 91    		 116
257    	 91    		 126
258    	 91    		 136
259    	 91    		 139
260    	 91    		 138
261    	 91    		 139
262    	 91    		 131
263    	 91    		 123
264    	 91    		 133
265    	 91    		 133
266    	 91    		 129
267    	 91    		 127
268    	 91    		 127
269    	 91    		 126
270    	 91    		 125
271    	 91    		 124
272    	 91    		 121
273    	 91    		 123
274    	 91    		 125
275    	 91    		 124
276    	 91    		 124
277    	 91    		 123
278    	 91    		 123
279    	 91    		 123
280    	 91    		 124
281    	 91    		 123
282    	 91    		 123
283    	 91    		 123
284    	 91    		 121
285    	 91    		 123
286    	 91    		 123
287    	 91    		 120
288    	 91    		 117
289    	 91    		 118
290    	 91    		 120
291    	 90    		 119
292    	 90    		 118
293    	 90    		 121
294    	 90    		 120
295    	 90    		 122
296    	 90    		 122
297    	 90    		 119
298    	 90    		 118
299    	 90    		 119
300    	 90    		 120
301    	 90    		 122
302    	 90    		 123
303    	 90    		 126
304    	 90    		 127
305    	 90    		 126
306    	 90    		 127
307    	 90    		 127
308    	 90    		 130
309    	 90    		 138
310    	 90    		 136
311    	 90    		 121
312    	 90    		 118
313    	 90    		 128
314    	 90    		 138
315    	 90    		 137
316    	 90    		 129
317    	 90    		 124
318    	 90    		 123
319    	 90    		 121
320    	 90    		 119
321    	 90    		 110
322    	 90    		 90
323    	 90    		 82
324    	 90    		 77
325    	 90    		 79
326    	 90    		 88
327    	 90    		 85
328    	 90    		 65
329    	 90    		 97
330    	 90    		 115
331    	 90    		 107
332    	 90    		 130
333    	 90    		 138
334    	 90    		 137
335    	 90    		 130
336    	 90    		 118
337    	 90    		 108
338    	 90    		 112
339    	 90    		 117
340    	 90    		 130
341    	 90    		 121
342    	 90    		 98
343    	 90    		 94
344    	 90    		 113
345    	 90    		 125
346    	 90    		 114
347    	 90    		 108
348    	 90    		 124
349    	 90    		 118
350    	 90    		 112
351    	 90    		 118
352    	 90    		 115
353    	 90    		 101
354    	 90    		 97
355    	 90    		 101
356    	 90    		 105
357    	 90    		 113
358    	 90    		 102
359    	 90    		 89
360    	 90    		 80
361    	 90    		 91
362    	 90    		 111
363    	 90    		 122
364    	 90    		 120
365    	 90    		 119
366    	 90    		 129
367    	 90    		 132
368    	 89    		 102
369    	 89    		 135
370    	 89    		 135
371    	 89    		 110
372    	 89    		 93
373    	 89    		 87
374    	 89    		 86
375    	 89    		 93
376    	 89    		 110
377    	 89    		 114
378    	 89    		 111
379    	 89    		 105
380    	 89    		 110
381    	 89    		 114
382    	 89    		 112
383    	 89    		 108
384    	 89    		 108
385    	 89    		 116
386    	 89    		 130
387    	 89    		 134
388    	 89    		 119
389    	 89    		 97
390    	 89    		 100
391    	 89    		 108
392    	 89    		 106
393    	 89    		 102
394    	 89    		 108
395    	 89    		 118
396    	 89    		 114
397    	 89    		 112
398    	 89    		 114
399    	 89    		 113
400    	 89    		 114
401    	 89    		 114
402    	 89    		 113
403    	 89    		 113
404    	 89    		 114
405    	 89    		 116
406    	 89    		 117
407    	 89    		 116
408    	 89    		 118
409    	 89    		 118
410    	 89    		 116
411    	 89    		 115
412    	 89    		 116
413    	 89    		 118
414    	 89    		 118
415    	 89    		 117
416    	 89    		 118
417    	 89    		 118
418    	 89    		 117
419    	 89    		 115
420    	 89    		 112
421    	 89    		 112
422    	 89    		 114
423    	 89    		 111
424    	 89    		 97
425    	 89    		 86
426    	 89    		 80
427    	 89    		 79
428    	 89    		 72
429    	 89    		 67
430    	 89    		 66
431    	 89    		 69
432    	 89    		 78
433    	 89    		 101
434    	 89    		 130
435    	 89    		 135
436    	 89    		 84
437    	 89    		 82
438    	 89    		 109
439    	 89    		 109
440    	 89    		 99
441    	 89    		 104
442    	 89    		 115
443    	 89    		 120
444    	 88    		 150
445    	 88    		 146
446    	 88    		 143
447    	 88    		 147
448    	 88    		 130
449    	 88    		 87
450    	 88    		 61
451    	 88    		 71
452    	 88    		 83
453    	 88    		 93
454    	 88    		 112
455    	 88    		 132
456    	 88    		 135
457    	 88    		 124
458    	 88    		 120
459    	 88    		 130
460    	 88    		 131
461    	 88    		 115
462    	 88    		 124
463    	 88    		 131
464    	 88    		 133
465    	 88    		 128
466    	 88    		 126
467    	 88    		 124
468    	 88    		 112
469    	 88    		 106
470    	 88    		 113
471    	 88    		 119
472    	 88    		 139
473    	 88    		 117
474    	 88    		 124
475    	 88    		 134
476    	 88    		 128
477    	 88    		 129
478    	 88    		 127
479    	 88    		 112
480    	 88    		 98
481    	 88    		 109
482    	 88    		 127
483    	 88    		 114
484    	 88    		 127
485    	 88    		 133
486    	 88    		 122
487    	 88    		 110
488    	 88    		 113
489    	 88    		 126
490    	 88    		 131
491    	 88    		 134
492    	 88    		 138
493    	 88    		 130
494    	 88    		 117
495    	 88    		 102
496    	 88    		 104
497    	 88    		 121
498    	 88    		 125
499    	 88    		 111
500    	 88    		 125
501    	 88    		 127
502    	 88    		 100
503    	 88    		 106
504    	 88    		 114
505    	 88    		 113
506    	 88    		 107
507    	 88    		 111
508    	 88    		 123
509    	 88    		 132
510    	 88    		 139
511    	 88    		 116
512    	 88    		 97
513    	 88    		 122
514    	 88    		 137
515    	 88    		 139
516    	 88    		 137
517    	 88    		 132
518    	 88    		 123
519    	 88    		 111
520    	 88    		 115
521    	 87    		 133
522    	 87    		 134
523    	 87    		 132
524    	 87    		 116
525    	 87    		 109
526    	 87    		 120
527    	 87    		 133
528    	 87    		 133
529    	 87    		 126
530    	 87    		 125
531    	 87    		 121
532    	 87    		 120
533    	 87    		 111
534    	 87    		 114
535    	 87    		 120
536    	 87    		 118
537    	 87    		 110
538    	 87    		 104
539    	 87    		 113
540    	 87    		 121
541    	 87    		 117
542    	 87    		 114
